date,geo,timeframe,new product,product launch,AI trends,wearable technology,electric vehicle,sustainable fashion,food innovation,medtech,smart device,bluetooth headphones,smartwatch,plant-based food,digital health,generative AI,AI chatbots,quantum computing,immersive tech,eco friendly products
2025-08-24,IN,today 3-m,15,0,8,0,17,0,0,0,0,77,6,0,0,3,0,56,0,0
2025-08-25,IN,today 3-m,18,4,9,0,21,0,0,32,14,68,5,0,1,3,0,59,0,0
2025-08-26,IN,today 3-m,17,4,6,0,20,0,0,23,19,84,4,0,1,3,0,51,0,0
2025-08-27,IN,today 3-m,14,4,7,0,18,0,0,19,22,58,5,0,0,2,0,41,0,0
2025-08-28,IN,today 3-m,15,4,7,0,18,0,0,28,15,59,5,0,1,3,0,62,0,0
2025-08-29,IN,today 3-m,14,5,9,0,24,0,0,33,0,61,4,0,1,3,0,62,0,0
2025-08-30,IN,today 3-m,11,0,7,0,17,0,0,20,17,71,5,0,0,3,0,63,0,0
2025-08-31,IN,today 3-m,11,0,7,0,16,0,0,17,17,76,6,0,0,2,0,57,0,0
2025-09-01,IN,today 3-m,15,0,7,0,22,0,0,33,0,67,4,0,1,3,0,51,0,0
2025-09-02,IN,today 3-m,17,3,8,0,17,0,0,31,0,58,4,0,1,3,0,57,0,0
2025-09-03,IN,today 3-m,18,4,11,0,24,0,0,34,23,68,4,0,1,3,0,45,0,0
2025-09-04,IN,today 3-m,27,6,7,0,24,0,0,37,14,57,5,0,1,2,0,51,0,0
2025-09-05,IN,today 3-m,15,3,5,0,17,0,0,29,21,55,4,0,1,3,0,41,0,12
2025-09-06,IN,today 3-m,17,0,5,0,21,0,0,17,21,76,5,0,1,3,0,37,0,0
2025-09-07,IN,today 3-m,13,0,6,0,17,0,0,14,0,69,5,0,1,2,0,34,0,0
2025-09-08,IN,today 3-m,18,5,9,0,19,0,0,28,18,61,4,0,1,3,0,54,0,0
2025-09-09,IN,today 3-m,20,5,10,0,25,0,0,24,15,67,4,0,1,3,0,47,0,0
2025-09-10,IN,today 3-m,18,6,13,0,17,13,0,34,21,71,4,0,1,3,0,59,0,0
2025-09-11,IN,today 3-m,21,5,7,0,19,0,0,31,19,63,5,0,1,3,0,41,0,0
2025-09-12,IN,today 3-m,20,4,8,0,18,0,0,18,0,85,5,0,1,3,0,48,0,0
2025-09-13,IN,today 3-m,14,0,13,0,16,0,0,0,23,66,5,0,0,2,0,36,0,0
2025-09-14,IN,today 3-m,15,3,14,0,13,0,0,15,0,45,5,0,0,2,0,23,13,0
2025-09-15,IN,today 3-m,17,3,8,0,19,0,0,37,19,47,4,0,1,3,0,42,0,11
2025-09-16,IN,today 3-m,18,0,10,0,19,0,0,28,14,60,22,0,1,3,0,46,0,0
2025-09-17,IN,today 3-m,18,3,6,0,18,0,0,36,13,68,45,0,1,2,0,55,0,0
2025-09-18,IN,today 3-m,17,0,7,0,19,0,0,17,0,49,54,0,1,3,0,50,0,0
2025-09-19,IN,today 3-m,19,3,7,0,19,0,0,25,0,69,55,0,1,3,0,49,0,0
2025-09-20,IN,today 3-m,17,4,5,0,18,0,0,25,15,69,59,0,1,2,0,37,0,0
2025-09-21,IN,today 3-m,18,0,7,0,14,0,0,15,15,76,51,0,1,2,0,34,0,0
2025-09-22,IN,today 3-m,34,6,6,0,21,0,0,23,0,79,46,0,1,3,0,51,0,0
2025-09-23,IN,today 3-m,26,5,4,0,18,0,0,18,15,100,43,0,1,2,0,40,0,0
2025-09-24,IN,today 3-m,19,3,4,0,18,0,0,0,15,80,54,0,0,2,0,46,0,0
2025-09-25,IN,today 3-m,18,4,4,0,19,0,0,23,20,72,52,0,1,2,0,37,0,0
2025-09-26,IN,today 3-m,15,3,0,0,20,0,0,22,20,73,56,0,1,2,0,33,0,0
2025-09-27,IN,today 3-m,12,3,0,0,18,0,0,14,17,92,62,0,0,2,0,31,0,0
2025-09-28,IN,today 3-m,12,0,0,0,14,0,0,0,24,69,57,0,0,2,0,13,0,0
2025-09-29,IN,today 3-m,14,0,0,0,20,0,0,30,30,91,60,0,0,3,0,52,0,0
2025-09-30,IN,today 3-m,16,3,3,0,19,0,0,24,20,79,54,0,0,3,0,39,0,0
2025-10-01,IN,today 3-m,14,4,3,0,16,0,0,23,19,69,59,0,0,2,0,35,0,0
2025-10-02,IN,today 3-m,10,0,0,0,12,0,0,16,25,80,66,0,0,1,0,35,0,0
2025-10-03,IN,today 3-m,18,3,2,0,18,0,0,22,31,73,65,0,0,2,0,44,0,0
2025-10-04,IN,today 3-m,15,0,3,0,18,0,0,23,0,73,72,0,0,2,0,42,0,0
2025-10-05,IN,today 3-m,13,0,4,0,17,17,0,17,19,75,71,0,0,2,0,33,0,0
2025-10-06,IN,today 3-m,16,0,0,0,19,0,0,36,17,73,73,0,1,3,0,39,0,0
2025-10-07,IN,today 3-m,17,4,4,0,21,0,0,25,22,63,59,0,0,3,0,64,0,0
2025-10-08,IN,today 3-m,17,4,4,0,19,0,0,29,24,74,66,0,1,2,0,71,0,0
2025-10-09,IN,today 3-m,14,3,0,0,18,0,0,32,15,61,62,0,1,3,0,58,0,0
2025-10-10,IN,today 3-m,15,3,3,0,21,0,0,27,26,74,69,0,1,2,0,42,0,0
2025-10-11,IN,today 3-m,12,0,0,0,20,0,0,24,0,85,67,0,0,2,0,43,0,0
2025-10-12,IN,today 3-m,13,0,3,0,16,0,0,0,29,71,75,0,0,2,0,42,0,0
